"DaysSince";"NumberOfRooms";"Address";"GlobalId";"Price";"AgentId";"AgentName";"MobileURL";"PlotArea";"Postcode";"Products";"URL";"SalesStatus";"WGS84_X";"WGS84_Y";"LivingArea";"City";"PropertyType"
8 weken;5;Kadoelenweg 228;3843612;599000;24723;De Haas makelaars;http://m.funda.nl/obj.aspx?goi=3843612;193;1035NN;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49298075-kadoelenweg-228/;Verkocht onder voorbehoud;4.906073;52.41611;120;Amsterdam;woonhuis
4 maanden;7;Balatonmeerlaan 37;3741281;525000;24614;Nieuw West Makelaardij B.V.;http://m.funda.nl/obj.aspx?goi=3741281;132;1060RD;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49196644-balatonmeerlaan-37/;Verkocht onder voorbehoud;4.781997;52.34743;185;Amsterdam;woonhuis
4 maanden;4;Vorselaarstraat 8;3725350;315000;24614;Nieuw West Makelaardij B.V.;http://m.funda.nl/obj.aspx?goi=3725350;102;1066NN;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49170713-vorselaarstraat-8/;Verkocht onder voorbehoud;4.808608;52.34943;102;Amsterdam;woonhuis
5 maanden;4;Narva Eiland West (Bouwnr. 80);3694648;1037459;24605;Hallie & Van Klooster Makelaardij;http://m.funda.nl/obj.aspx?goi=3694648;NA;1013;Brochure;http://www.funda.nl/koop/amsterdam/appartement-49049001-narva-eiland-west-bouwnr-80/;StatusBeschikbaar;4.894955;52.38232;170;Amsterdam;appartement
4 augustus 2017;1;Van Ostadestraat 228;3896776;350000;24648;Heeren Makelaars;http://m.funda.nl/obj.aspx?goi=3896776;NA;1073TT;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49241139-van-ostadestraat-228/;Verkocht onder voorbehoud;4.896244;52.35269;57;Amsterdam;appartement
5 augustus 2017;3;Tolstraat 4 E;3895240;425000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3895240;NA;1073SB;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49240603-tolstraat-4-e/;OnderBod;4.899451;52.35156;79;Amsterdam;appartement
30 juli 2017;2;Prinsengracht 158 III;3892620;448800;24663;Urban Makelaars AMSTERDAM;http://m.funda.nl/obj.aspx?goi=3892620;NA;1016HA;c("Video", "Plattegrond", "360-fotos", "Brochure", "Featured");http://www.funda.nl/koop/amsterdam/appartement-49247083-prinsengracht-158-iii/;Verkocht onder voorbehoud;4.882891;52.37491;71;Amsterdam;appartement
2 weken;2;Van der Hoopstraat 97 II;3887565;245000;24633;Gaikhorst Makelaars;http://m.funda.nl/obj.aspx?goi=3887565;NA;1051VD;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49232928-van-der-hoopstraat-97-ii/;Verkocht onder voorbehoud;4.87149;52.38418;39;Amsterdam;appartement
3 weken;4;Jacob Burggraafstraat 26;3883305;350000;12299;Kolt Makelaardij;http://m.funda.nl/obj.aspx?goi=3883305;NA;1018WA;c("Video", "Plattegrond", "360-fotos", "Brochure", "Featured", "Toppositie");http://www.funda.nl/koop/amsterdam/appartement-49238768-jacob-burggraafstraat-26/;Verkocht onder voorbehoud;4.921995;52.37237;75;Amsterdam;appartement
3 weken;3;Overtoom 20 B;3880057;325000;24648;Heeren Makelaars;http://m.funda.nl/obj.aspx?goi=3880057;NA;1054HJ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49235410-overtoom-20-b/;Verkocht onder voorbehoud;4.87728;52.36351;72;Amsterdam;appartement
4 weken;3;Pieter de Hoochstraat 38 III;3876107;695000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3876107;NA;1071EG;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49221560-pieter-de-hoochstraat-38-iii/;Verkocht onder voorbehoud;4.884939;52.3562;94;Amsterdam;appartement
4 weken;5;Van Eeghenstraat 12 -hs;3872282;1100000;24261;Babs Persoons BV;http://m.funda.nl/obj.aspx?goi=3872282;NA;1071GE;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49227645-van-eeghenstraat-12-hs/;Verkocht onder voorbehoud;4.87662;52.35838;124;Amsterdam;appartement
4 weken;2;Orteliusstraat 258 II;3871946;250000;24755;Amsterdam @ Home Makelaars;http://m.funda.nl/obj.aspx?goi=3871946;NA;1056PK;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49226309-orteliusstraat-258-ii/;Verkocht onder voorbehoud;4.848463;52.37182;51;Amsterdam;appartement
4 weken;4;Burgemeester Hogguerstraat 975;3871933;215000;24518;Henk Burger Makelaardij;http://m.funda.nl/obj.aspx?goi=3871933;NA;1064EE;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49226396-burgemeester-hogguerstraat-975/;Verkocht onder voorbehoud;4.82811;52.3735;78;Amsterdam;appartement
5 weken;2;Celebesstraat 58 A;3868911;235000;62835;Amstelland Makelaars B.V.;http://m.funda.nl/obj.aspx?goi=3868911;NA;1094ER;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-85677910-celebesstraat-58-a/;Verkocht onder voorbehoud;4.93196;52.3622;61;Amsterdam;appartement
5 weken;3;Haarlemmermeerstraat 118 I;3866024;295000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3866024;NA;1058KH;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49211487-haarlemmermeerstraat-118-i/;Verkocht onder voorbehoud;4.850126;52.35327;57;Amsterdam;appartement
5 weken;2;Henrick de Keijserstraat 15 II;3865567;375000;24592;Ramón Mossel Makelaardij o.g. B.V.;http://m.funda.nl/obj.aspx?goi=3865567;NA;1073TG;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49210920-henrick-de-keijserstraat-15-ii/;Verkocht onder voorbehoud;4.89759;52.3522;66;Amsterdam;appartement
5 weken;4;Jan Pieter Heijestraat 174 -I;3864758;5e+05;24356;Peters & Van der Vloodt;http://m.funda.nl/obj.aspx?goi=3864758;NA;1054ML;c("Video", "Plattegrond", "360-fotos", "Brochure", "Toppositie");http://www.funda.nl/koop/amsterdam/appartement-49219111-jan-pieter-heijestraat-174-i/;OnderBod;4.86489;52.361;90;Amsterdam;appartement
6 weken;2;Nassaukade 161 G;3862123;250000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3862123;NA;1053LL;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49217586-nassaukade-161-g/;Verkocht onder voorbehoud;4.874076;52.37106;35;Amsterdam;appartement
6 weken;3;Rustenburgerdwarsstraat 14 III;3858245;6e+05;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3858245;NA;1074JJ;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49203608-rustenburgerdwarsstraat-14-iii/;Verkocht onder voorbehoud;4.904542;52.35307;106;Amsterdam;appartement
6 weken;4;Noorderdwarsstraat 11 - hs;3857822;6e+05;24636;A en P Makelaardij in o.z.;http://m.funda.nl/obj.aspx?goi=3857822;NA;1017TX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49202285-noorderdwarsstraat-11-hs/;Verkocht onder voorbehoud;4.893954;52.36128;106;Amsterdam;appartement
